market_hash_name,currency,current_min_price,min_24h,max_24h,avg_24h,median_24h,volume_24h,min_7d,max_7d,avg_7d,median_7d,volume_7d,min_30d,max_30d,avg_30d,median_30d,volume_30d,min_90d,max_90d,avg_90d,median_90d,volume_90d
Sticker | GODSENT | 2020 RMR,EUR,0.03,0.02,0.03,0.03,0.03,18,0.02,0.06,0.03,0.03,128,0.02,0.06,0.03,0.03,703,0.02,0.06,0.03,0.03,846
Sticker | xertioN (Holo) | Rio 2022,EUR,,,,,,0,,,,,0,,,,,0,,,,,0
Sticker | buster | Antwerp 2022,EUR,0.02,,,,,0,,,,,0,,,,,0,0.02,0.02,0.02,0.02,19
Sticker | Summer (Holo) | Shanghai 2024,EUR,2.69,,,,,0,,,,,0,1,1,1,1,2,1,2.68,1.95,1.94,21
★ Stiletto Knife | Urban Masked (Battle-Scarred),EUR,207.04,,,,,0,225,225,225,225,1,164.24,225,187.67,178.56,5,164.24,243.31,199.48,196.23,11
Sticker | MOUZ (Glitter) | Shanghai 2024,EUR,0.2,0.19,0.19,0.19,0.19,1,0.12,0.33,0.24,0.23,26,0.06,0.33,0.15,0.14,116,0.05,0.59,0.11,0.07,447
Sticker | Summer | Katowice 2019,EUR,1.07,,,,,0,,,,,0,0.4,0.4,0.4,0.4,1,0.39,0.4,0.4,0.4,2
Sticker | gob b (Gold) | Krakow 2017,EUR,681.42,,,,,0,,,,,0,,,,,0,,,,,0
Sealed Graffiti | Dead Now (Princess Pink),EUR,0.18,,,,,0,,,,,0,0.13,0.13,0.13,0.13,1,0.13,0.14,0.14,0.14,2
StatTrak™ CZ75-Auto | Tread Plate (Minimal Wear),EUR,9.15,,,,,0,,,,,0,,,,,0,7.5,7.5,7.5,7.5,1
Sticker | I'm Lit,EUR,0.29,,,,,0,0.08,0.29,0.15,0.11,8,0.08,0.29,0.13,0.11,15,0.08,0.29,0.12,0.1,33
P2000 | Handgun (Well-Worn),EUR,0.52,,,,,0,0.52,0.52,0.52,0.52,1,0.41,1,0.63,0.55,5,0.41,1,0.57,0.54,24
P90 | Death Grip (Minimal Wear),EUR,7.91,,,,,0,6.56,6.56,6.56,6.56,1,6.29,6.56,6.43,6.42,2,6.29,9,7.25,7,5
R8 Revolver | Night (Battle-Scarred),EUR,0.57,,,,,0,0.53,0.53,0.53,0.53,1,0.53,0.53,0.53,0.53,1,0.5,0.59,0.54,0.53,5
